product_id,canonical_name,display_name,brand,category,in_basket
480,Бор Ч ПКМ кайсия 200,,Бор,Мляко и млечни,
481,Бор Чв ПКМ ягода 200,,Бор,Мляко и млечни,
482,Босилек бр,,Босилек,,
483,Бочко вл.кърпи 48бр.,,Бочко,,
484,Боя за яйца,,Боя,Яйца,
485,Брашно екстра 1 кг,,,Основни храни,
486,Брашно тип500 1кг,,,Основни храни,
487,Брей! Гъби,,Брей,Плодове и зеленчуци,
488,Брей! Домати,,Брей,Плодове и зеленчуци,
489,Брей! Кайма смес 500,,Брей,Месо и колбаси,
490,Брей! Малини 125г бр,,Брей,Плодове и зеленчуци,
491,Брей! Моркови,,Брей,Плодове и зеленчуци,
492,Брей! Селски хляб650,,Брей,Хляб и тестени,
493,Брей! Спанак,,Брей,Плодове и зеленчуци,
494,"Брецел,немски100г",,Брецел,,
495,Броколи (кг),,Броколи,,
496,Брюксел.зеле бр,,Брюксел,Плодове и зеленчуци,
497,Букет карамфили 40 с,,Букет,,
498,Букет рози 11бр,,Букет,,
499,Бяла кристална захар,,Кристал,Основни храни,
500,ВВВ Праскова 12% 2л,,ВВВ,Плодове и зеленчуци,
501,Ведраре Kашкавал 400,,Ведраре,,
502,Великденс. Стикери,,Великденс,,
503,Велинград 1л,,Велинград,,
504,"Верея КМ 2,9% 400г","Верея кисело мляко 2,9% 400г",Верея,Мляко и млечни,1
